,hpso01 (Ingest) [Na=512] [Bmax=32500.0],hpso01 (RCAL) [Na=512] [Bmax=32500.0],hpso01 (FastImg) [Na=512] [Bmax=32500.0],hpso01 (ICAL) [Na=512] [Bmax=32500.0],hpso01 (DPrepA) [Na=512] [Bmax=32500.0],hpso01 (DPrepB) [Na=512] [Bmax=32500.0],hpso01 (DPrepC) [Na=512] [Bmax=32500.0],hpso01 (DPrepD) [Na=512] [Bmax=32500.0],hpso02a (Ingest) [Na=512] [Bmax=32500.0],hpso02a (RCAL) [Na=512] [Bmax=32500.0],hpso02a (FastImg) [Na=512] [Bmax=32500.0],hpso02a (ICAL) [Na=512] [Bmax=32500.0],hpso02a (DPrepA) [Na=512] [Bmax=32500.0],hpso02a (DPrepB) [Na=512] [Bmax=32500.0],hpso02a (DPrepC) [Na=512] [Bmax=32500.0],hpso02a (DPrepD) [Na=512] [Bmax=32500.0],hpso02b (Ingest) [Na=512] [Bmax=32500.0],hpso02b (RCAL) [Na=512] [Bmax=32500.0],hpso02b (FastImg) [Na=512] [Bmax=32500.0],hpso02b (ICAL) [Na=512] [Bmax=32500.0],hpso02b (DPrepA) [Na=512] [Bmax=32500.0],hpso02b (DPrepB) [Na=512] [Bmax=32500.0],hpso02b (DPrepC) [Na=512] [Bmax=32500.0],hpso02b (DPrepD) [Na=512] [Bmax=32500.0],hpso04a (Ingest) [Nf_max=32768] [Na=512] [Bmax=32500.0],hpso04a (RCAL) [Nf_max=32768] [Na=512] [Bmax=32500.0],hpso04a (FastImg) [Nf_max=32768] [Na=512] [Bmax=32500.0],hpso04a (PSS) [Nf_max=32768] [Na=512] [Bmax=32500.0],hpso05a (Ingest) [Nf_max=32768] [Na=512] [Bmax=32500.0],hpso05a (RCAL) [Nf_max=32768] [Na=512] [Bmax=32500.0],hpso05a (FastImg) [Nf_max=32768] [Na=512] [Bmax=32500.0],hpso05a (PST) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (Ingest) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (RCAL) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (FastImg) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (ICAL) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (DPrepA) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (DPrepA_Image) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (DPrepB) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (DPrepC) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (DPrepD) [Nf_max=32768] [Na=512] [Bmax=32500.0]
-- Parameters --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telescope,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low
Band,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Frequency Min [GHz],0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Frequency Max [GHz],0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Pipeline,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,PSS,Ingest,RCAL,FastImg,PST,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768
