,hpso01 (Ingest) [Nf_max=16384] [Na=256],hpso01 (RCAL) [Nf_max=16384] [Na=256],hpso01 (FastImg) [Nf_max=16384] [Na=256],hpso01 (ICAL) [Nf_max=16384] [Na=256],hpso01 (DPrepA) [Nf_max=16384] [Na=256],hpso01 (DPrepB) [Nf_max=16384] [Na=256],hpso01 (DPrepC) [Nf_max=16384] [Na=256],hpso01 (DPrepD) [Nf_max=16384] [Na=256],hpso02a (Ingest) [Nf_max=16384] [Na=256],hpso02a (RCAL) [Nf_max=16384] [Na=256],hpso02a (FastImg) [Nf_max=16384] [Na=256],hpso02a (ICAL) [Nf_max=16384] [Na=256],hpso02a (DPrepA) [Nf_max=16384] [Na=256],hpso02a (DPrepB) [Nf_max=16384] [Na=256],hpso02a (DPrepC) [Nf_max=16384] [Na=256],hpso02a (DPrepD) [Nf_max=16384] [Na=256],hpso02b (Ingest) [Nf_max=16384] [Na=256],hpso02b (RCAL) [Nf_max=16384] [Na=256],hpso02b (FastImg) [Nf_max=16384] [Na=256],hpso02b (ICAL) [Nf_max=16384] [Na=256],hpso02b (DPrepA) [Nf_max=16384] [Na=256],hpso02b (DPrepB) [Nf_max=16384] [Na=256],hpso02b (DPrepC) [Nf_max=16384] [Na=256],hpso02b (DPrepD) [Nf_max=16384] [Na=256],hpso04a (Ingest) [Nf_max=16384] [Na=256],hpso04a (RCAL) [Nf_max=16384] [Na=256],hpso04a (FastImg) [Nf_max=16384] [Na=256],hpso04a (PSS) [Nf_max=16384] [Na=256],hpso05a (Ingest) [Nf_max=16384] [Na=256],hpso05a (RCAL) [Nf_max=16384] [Na=256],hpso05a (FastImg) [Nf_max=16384] [Na=256],hpso05a (PST) [Nf_max=16384] [Na=256],max_low (Ingest) [Nf_max=16384] [Na=256],max_low (RCAL) [Nf_max=16384] [Na=256],max_low (FastImg) [Nf_max=16384] [Na=256],max_low (ICAL) [Nf_max=16384] [Na=256],max_low (DPrepA) [Nf_max=16384] [Na=256],max_low (DPrepA_Image) [Nf_max=16384] [Na=256],max_low (DPrepB) [Nf_max=16384] [Na=256],max_low (DPrepC) [Nf_max=16384] [Na=256],max_low (DPrepD) [Nf_max=16384] [Na=256]
-- Parameters --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telescope,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low
Band,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Frequency Min [GHz],0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Frequency Max [GHz],0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Pipeline,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,PSS,Ingest,RCAL,FastImg,PST,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
